Date,RGTI,IONQ,QNTM.MI,RACE.MI,LEGN,TTWO,LGND,SMR
2025-12-16,20.383490381099016,42.255758288489346,21.040000915527344,310.95928955078125,18.41830450073333,208.02900953523368,163.87612694795243,14.564498571165183
2025-12-17,19.124217408442103,39.02293572722537,21.399999618530273,307.8941955566406,18.230563011385225,204.73211822615116,165.61555448121715,13.38780330543379
2025-12-18,19.43396875000317,39.54923287165297,21.065000534057617,313.82666015625,18.122474753499354,210.05207439419615,168.96993262151534,13.447080189523497
2025-12-19,20.26324062885248,41.34519726211398,21.440000534057617,319.16583251953125,18.694033327091088,210.9901329801889,170.84743237277965,13.7049775919608
2025-12-22,22.958475933468556,46.0023648212827,21.81999969482422,316.2984924316406,19.37975622975034,212.31466397921858,169.07962023165393,14.03302746913112
2025-12-23,21.341242016839928,43.67687724259232,21.850000381469727,316.2984924316406,19.420445096476747,211.823079545633,167.76374537170486,13.573063816141751
2025-12-24,20.77908686123228,42.23639703868519,21.850000381469727,316.2984924316406,19.481982949821898,213.3014415459281,167.13133957109162,13.632301592130165
2025-12-26,18.989654349259784,39.031462592603084,21.850000381469727,316.2984924316406,19.11693215243752,217.2949372261356,166.16372589083053,12.600374660640806
2025-12-29,18.91658435173485,38.43625614374855,21.260000228881836,315.30975341796875,18.619287018860152,217.196697870903,165.7728152435744,12.299601577165907
2025-12-30,19.03527712067248,38.4867665484721,21.545000076293945,315.1120300292969,18.287797066892566,219.07132643148316,161.55777219601114,12.155056913835692
2025-12-31,18.855408625415212,38.19603518976354,21.545000076293945,315.1120300292969,18.50639215623,217.94809618459598,160.94773400925865,12.062354233052371
2026-01-02,20.084308764750677,39.80267436176867,21.575000762939453,312.739013671875,18.30565589591809,214.11915788627905,161.78931736472515,13.880299149660658
2026-01-05,21.367543822751685,41.615874870793526,22.3700008392334,317.7816162109375,17.352051165814387,219.8353697940447,164.06274996595744,16.04488140707008
2026-01-06,21.66462071549475,43.3292414309895,22.479999542236328,314.6176452636719,17.90873710494144,217.1157050207719,167.3246330038198,16.705147155643502
